collected_at,source_url,name,foil_status,price,url,print_variation,image_url,cn_price,en_price,set_number,raw_text
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Baccai Sandspinner,foil,0.11,https://bilgewatermarket.com/cards/VEN-001?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-001-EN-CwT4oNk9.png,¥0.50,$0.11,,Baccai Sandspinner VEN-001/166 Foiled CN ¥0.50 EN $0.11
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Baccai Sandspinner,nonfoil,0.06,https://bilgewatermarket.com/cards/VEN-001,normal,https://bilgewatermarket.com/assets/VEN-001-EN-CwT4oNk9.png,¥0.58,$0.06,,Baccai Sandspinner VEN-001/166 CN ¥0.58 EN $0.06
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Blade Twirler,foil,0.15,https://bilgewatermarket.com/cards/VEN-002?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-002-EN-DhiWbxgH.png,¥0.89,$0.15,,Blade Twirler VEN-002/166 Foiled CN ¥0.89 EN $0.15
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Blade Twirler,nonfoil,0.06,https://bilgewatermarket.com/cards/VEN-002,normal,https://bilgewatermarket.com/assets/VEN-002-EN-DhiWbxgH.png,¥0.50,$0.06,,Blade Twirler VEN-002/166 CN ¥0.50 EN $0.06
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Brittle Steel,foil,0.33,https://bilgewatermarket.com/cards/VEN-003?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-003-EN-BLstdxYc.png,¥2.04,$0.33,,Brittle Steel VEN-003/166 Foiled CN ¥2.04 EN $0.33
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Brittle Steel,nonfoil,0.09,https://bilgewatermarket.com/cards/VEN-003,normal,https://bilgewatermarket.com/assets/VEN-003-EN-BLstdxYc.png,¥0.84,$0.09,,Brittle Steel VEN-003/166 CN ¥0.84 EN $0.09
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Dune Surfer,foil,0.22,https://bilgewatermarket.com/cards/VEN-004?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-004-EN-CDFnHbgU.png,¥0.51,$0.22,,Dune Surfer VEN-004/166 Foiled CN ¥0.51 EN $0.22
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Dune Surfer,nonfoil,0.08,https://bilgewatermarket.com/cards/VEN-004,normal,https://bilgewatermarket.com/assets/VEN-004-EN-CDFnHbgU.png,¥0.50,$0.08,,Dune Surfer VEN-004/166 CN ¥0.50 EN $0.08
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Forsaken Baccai,foil,0.22,https://bilgewatermarket.com/cards/VEN-005?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-005-EN-B296W7Pp.png,¥0.51,$0.22,,Forsaken Baccai VEN-005/166 Foiled CN ¥0.51 EN $0.22
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Forsaken Baccai,nonfoil,0.08,https://bilgewatermarket.com/cards/VEN-005,normal,https://bilgewatermarket.com/assets/VEN-005-EN-B296W7Pp.png,¥0.50,$0.08,,Forsaken Baccai VEN-005/166 CN ¥0.50 EN $0.08
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Oasis Raider,foil,0.15,https://bilgewatermarket.com/cards/VEN-006?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-006-EN-BXQcW2nP.png,¥0.56,$0.15,,Oasis Raider VEN-006/166 Foiled CN ¥0.56 EN $0.15
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Oasis Raider,nonfoil,0.08,https://bilgewatermarket.com/cards/VEN-006,normal,https://bilgewatermarket.com/assets/VEN-006-EN-BXQcW2nP.png,¥0.50,$0.08,,Oasis Raider VEN-006/166 CN ¥0.50 EN $0.08
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Punching Poro,foil,0.20,https://bilgewatermarket.com/cards/VEN-007?print_variation=foiled,foiled,https://bilgewatermarket.com/assets/VEN-007-EN-BC4DnhHy.png,¥0.62,$0.20,,Punching Poro VEN-007/166 Foiled CN ¥0.62 EN $0.20
2026-09-23T19:58:38+00:00,https://bilgewatermarket.com/cards,Punching Poro,nonfoil,0.08,https://bilgewatermarket.com/cards/VEN-007,normal,https://bilgewatermarket.com/assets/VEN-007-EN-BC4DnhHy.png,¥0.50,$0.08,,Punching Poro VEN-007/166 CN ¥0.50 EN $0.08
